id,proper,ra,dec,mag,con,dist,spect
45612,,9.32587,-15.834663,5.79,Hya,138.5042,K1/K2III
45620,,9.329551,-11.974853,4.77,Hya,103.3058,G8III
45679,,9.341394,-9.555695,4.8,Hya,68.2128,F5V+...
45724,,9.349117,-62.404632,4.79,Car,71.6332,G6III
45728,,9.350925,34.392562,3.14,Lyn,62.2665,M0IIIvar
45770,,9.35822,-25.965439,4.71,Pyx,154.0832,M0III
45783,,9.362026,56.699219,5.79,UMa,230.4147,M4IIIa
45788,,9.363909,-55.514686,5.61,Vel,81.1688,A3IVs...
45792,,9.36416,-42.19486,5.56,Vel,176.0563,M3Ib
45809,Markeb,9.368562,-55.010668,2.47,Vel,175.4386,B2IV
45830,,9.373331,-46.047445,5.74,Vel,162.8664,G6/G8III
45894,,9.386739,-28.833873,4.71,Pyx,58.8928,G8III
45969,,9.401526,-61.648902,5.99,Car,110.9878,K0III
45975,,9.40268,-80.786876,5.34,Cha,58.1395,F3/F5IV
46014,,9.410906,26.182324,4.47,Leo,61.7284,K2III
46088,,9.423343,-5.117394,5.6,Hya,275.4821,K5III
46093,,9.424253,-61.950476,5.77,Car,77.3994,A4V+...
46150,,9.438324,-53.378909,5.09,Vel,131.5789,B6V
46226,,9.451788,-71.601895,5.46,Car,61.8812,K2III
46239,,9.45511,-22.343783,4.72,Hya,48.0077,K1III
46259,Alphard,9.45979,-8.658603,1.99,Hya,55.2792,K3III
46272,,9.462995,-6.071187,5.38,Hya,30.4136,G2V
46322,,9.474278,9.056778,5.4,Leo,33.1675,F9V
46325,,9.474771,8.188298,5.72,Leo,124.2236,K0III
46328,,9.47516,-66.701877,5.9,Car,77.6398,A0V
46339,Intercrus,9.477775,45.601483,5.4,UMa,85.8369,K0III-IV
46350,,9.479763,-62.273134,5.91,Car,154.0832,K1III
46376,,9.485805,-2.768964,4.59,Hya,17.334,F6V
46378,,9.486845,-20.749127,5.66,Hya,364.9635,K4/K5III
46382,,9.487423,-35.951335,4.51,Ant,217.8649,K3III
46445,,9.498474,-26.589616,5.49,Ant,242.1308,K2IIICNII
46461,,9.501421,-51.517164,5.45,Vel,132.626,B8V
46485,,9.506246,-15.577352,5.86,Hya,73.0994,K2III
46487,,9.50651,-58.361839,5.88,Car,296.7359,M2III
46518,,9.511674,-40.466769,3.6,Vel,18.8147,F2IV
46519,,9.512006,33.655711,5.87,LMi,153.8462,G8III:
46524,,9.512804,-31.889222,5.75,Ant,124.3781,A0
46568,,9.520371,-57.034377,3.16,Vel,73.2601,K5III
46600,,9.525453,63.061861,3.65,UMa,23.8152,F0IV
46601,,9.525601,-31.871831,5.91,Ant,117.6471,A9IV
46602,,9.525671,35.103273,5.39,LMi,147.0588,M1III
46603,,9.52584,-35.71475,5.86,Ant,85.5432,K3III
46608,,9.526752,-73.080913,5.46,Car,242.1308,K4III
46617,Alterf,9.528675,22.967971,4.32,Leo,100.9082,K5IIIvar
46637,,9.532428,11.299827,4.99,Leo,66.0939,K0IIIvar
46641,,9.53266,9.715767,5.07,Leo,153.1394,K3III
46643,,9.533036,-1.184664,4.54,Hya,158.7302,A3V
46678,,9.538688,-40.649335,5.35,Vel,129.8701,G8III
46680,,9.539003,-19.400303,5.74,Hya,115.6069,A4III
46720,,9.547715,51.6773,3.17,UMa,13.4789,F6IV
46726,,9.548826,-13.516804,5.95,Hya,226.7574,K4III
46747,,9.553461,-21.115722,5.02,Hya,111.1111,K0III
